target	uniprot	has_crystal_lmdb	n_crystal_pockets	has_af2_pockets	n_af2_pockets
5HT2A	P28223	True	19	True	6
ADRB2	P07550	True	0	True	6
ADRB3	P13945	True	3	True	4
ALDH1	P00352	True	19	True	4
BTK	Q06187	True	0	True	5
CB2	P34972	True	0	True	1
D2R	P14416	True	0	True	8
ESR2	Q92731	True	0	True	2
FEN1	P39748	True	0	True	1
GBA	P04062	True	0	True	1
GPR35	Q9HC97	True	1	True	8
IDH1	O75874	True	0	True	2
KAT2A	Q92830	True	35	True	2
MAPK1	P28482	True	0	True	4
MAPK10	P53779	True	0	True	6
MTORC1	P42345	True	0	True	11
NET	P23975	True	10	True	4
OPRK1	P41145	True	0	True	3
P2X3	P56373	True	0	False	0
SCN9A	Q15858	True	27	True	7
TRPM8	Q7Z2W7	True	36	True	5
TRPV1	Q8NER1	True	0	True	3
VDR	P11473	True	0	True	2
XIAP	P98170	True	0	False	0
XOR	P47989	True	12	True	12
