target	uniprot	rmsd	n_matched	seq_identity	info	note	pocket_rmsd
5HT2A	P28223	3.526952223829426	288	1.0	7wc8_92S.pdb:A vs AF-P28223-F1-model_v4_0.pdb		1.99
ADRB2	P07550	4.678636920623396	280	1.0	6ps0_CAU.pdb:A vs AF-P07550-F1-model_v4_0.pdb		4.39
ADRB3	P13945	3.313017430643922	256	1.0	7xjh_5FW.pdb:R vs AF-P13945-F1-model_v4_0.pdb		1.1
ALDH1	P00352	0.3035349124114575	493	1.0	7jwt_VM4.pdb:A vs AF-P00352-F1-model_v4_0.pdb		0.26
BTK	Q06187	4.933967745022511	270	1.0	8e2m_UB6.pdb:A vs AF-Q06187-F1-model_v4_0.pdb		7.28
CB2	P34972	1.9490784796573588	290	1.0	8gus_K03.pdb:R vs AF-P34972-F1-model_v4_0.pdb		0.55
D2R	P14416	2.2070109698051965	269	1.0	7jvr_08Y.pdb:R vs AF-P14416-F1-model_v4_0.pdb		1.35
ESR2	Q92731	1.0002375807269164	224	1.0	1yye_196.pdb:B vs AF-Q92731-F1-model_v4_0.pdb		0.36
FEN1	P39748	1.8972379974253857	336	1.0	5k97_DT.pdb:A vs AF-P39748-F1-model_v4_0.pdb		0.58
GBA	P04062	0.4437958742796896	493	1.0	6q1n_P9V.pdb:B vs AF-P04062-F1-model_v4_0.pdb		0.42
GPR35	Q9HC97	2.4	282	1.0	8h8j_WYB.pdb:C vs AF-Q9HC97-F1-model_v4_0.pdb		1.67
IDH1	O75874	1.0619819782258206	410	1.0	8bay_NDP.pdb:A vs AF-O75874-F1-model_v4_0.pdb		0.8
MAPK1	P28482	1.195812528595256	339	1.0	6g54_6H3.pdb:A vs AF-P28482-F1-model_v4_0.pdb		0.81
MAPK10	P53779	1.458945369656706	338	1.0	7ksj_X3Y.pdb:A vs AF-P53779-F1-model_v4_0.pdb		0.84
MTORC1	P42345	9.448924610497029	1044	1.0	6sb2_GTP.pdb:A vs AF-P42345-F1-model_v4_0.pdb		
NET	P23975	2.4454677985498	545	1.0	NET1_DSP.pdb:A vs AF-P23975-F1-model_v4_0.pdb		1.64
OPRK1	P41145	1.4286898665102437	275	1.0	6vi4_JDC.pdb:B vs AF-P41145-F1-model_v4_0.pdb		0.46
TRPM8	Q7Z2W7	2.1446404626817217	524	1.0	7wrc_KX7.pdb:A vs AF-Q7Z2W7-F1-model_v4_0.pdb		0.72
TRPV1	Q8NER1	1.957667557783323	545	1.0	7lpa_4DY.pdb:D vs AF-Q8NER1-F1-model_v4_0.pdb		1.12
VDR	P11473	7.1077700869140275	249	1.0	3ax8_EIM1.pdb:A vs AF-P11473-F1-model_v4_0.pdb		0.67
XIAP	P98170	0.7453969957509001	94	1.0	5m6f_7HU.pdb:A vs AF-P98170-F1-model_v4_0.pdb		0.6
XOR	P47989	0.4863177084237046	1306	1.0	2e1q_MTE.pdb:A vs AF-P47989-F1-model_v4_0.pdb		0.25
