target	uniprot	n_actives	n_crystal_pockets	n_af2_pockets	crystal_auc	af2_auc	auc_delta	mean_cos_sim	max_cos_sim	centroid_cos_sim	aligned_rmsd	pocket_rmsd
5HT2A	P28223	557	19	31	0.6099278304345005	0.5713590556155321	0.0385687748189683	0.0625664591789245	0.6837477684020996	0.1414491832256317	3.526952223829426	1.99
ADRB2	P07550	347	39	39	0.5969135603014125	0.5109608910314833	0.0859526692699291	0.048794001340866	0.5271074175834656	0.0878421515226364	4.678636920623396	4.39
ADRB3	P13945	150	3	24	0.5615006457023061	0.5403957400419287	0.0211049056603773	-0.0163465905934572	0.5305963158607483	-0.0361227914690971	3.313017430643922	1.1
ALDH1	P00352	219	19	37	0.4569834054732538	0.4940952079578392	-0.0371118024845854	-0.0744227766990661	0.6155983209609985	-0.2184359431266784	0.3035349124114575	0.26
BTK	Q06187	346	156	41	0.5486076672137207	0.4352928729843111	0.1133147942294096	-0.0993268564343452	0.5604812502861023	-0.3281641602516174	4.933967745022511	7.28
CB2	P34972	317	6	9	0.5497979009528335	0.4719501957077339	0.0778477052450996	0.0907163992524147	0.699315071105957	0.1686468571424484	1.9490784796573588	0.55
D2R	P14416	1208	5	48	0.5891502370659794	0.5414898217126692	0.0476604153533101	-0.0530611835420131	0.4760121405124664	-0.1113435477018356	2.2070109698051965	1.35
ESR2	Q92731	222	64	10	0.5619774785207854	0.5610345776730479	0.0009429008477375	-0.0176924262195825	0.4868601262569427	-0.0354195460677146	1.0002375807269164	0.36
FEN1	P39748	121	4	10	0.4754008269451218	0.4449254332682291	0.0304753936768927	0.0191238969564437	0.4497075974941253	0.0529590509831905	1.8972379974253857	0.58
GBA	P04062	57	41	9	0.5270884967677164	0.4223343626690484	0.1047541340986679	-0.0633799880743026	0.5594046711921692	-0.1258950680494308	0.4437958742796896	0.42
GPR35	Q9HC97	16	1	48	0.544742812207941	0.6121406103970495	-0.0673977981891085	0.133102998137474	0.472252607345581	0.2549824714660644	2.4	1.67
IDH1	O75874	143	109	17	0.5510192148315752	0.5213865746255918	0.0296326402059834	0.0100203761830925	0.660639226436615	0.0424585416913032	1.0619819782258206	0.8
KAT2A	Q92830	77	35	13	0.4378682665978539	0.5015031023196095	-0.0636348357217556	-0.0154340174049139	0.3474482595920563	-0.024346400052309		
MAPK1	P28482	518	154	15	0.5450864244106136	0.3733435173434365	0.171742907067177	-0.1536146849393844	0.4599988758563995	-0.4582852721214294	1.195812528595256	0.81
MAPK10	P53779	68	61	32	0.5057018433623991	0.4898858152710393	0.0158160280913597	-0.0432643257081508	0.7091423273086548	-0.1249550506472587	1.458945369656706	0.84
MTORC1	P42345	222	56	106	0.5185577710879061	0.4668889003199145	0.0516688707679915	-0.0045754602178931	0.6136191487312317	-0.0232399851083755	9.448924610497029	
NET	P23975	334	10	29	0.5548168213783642	0.5759706504664653	-0.0211538290881011	0.0547095462679863	0.4212659895420074	0.1199449971318245	2.4454677985498	1.64
OPRK1	P41145	769	12	22	0.6399143577574468	0.5071696981977254	0.1327446595597213	-0.0622424483299255	0.5896775126457214	-0.1325429379940033	1.4286898665102437	0.46
P2X3	P56373	47	27	0	0.4833533170811208							
SCN9A	Q15858	8	27	65	0.6250891807429887	0.5847091451711768	0.0403800355718119	0.0774962753057479	0.6990943551063538	0.2853126227855682		
TRPM8	Q7Z2W7	42	36	47	0.5602844084871165	0.6734104606530046	-0.1131260521658881	0.1184082478284835	0.5802068710327148	0.3396167457103729	2.1446404626817217	0.72
TRPV1	Q8NER1	208	104	25	0.632225552446285	0.6280230028788936	0.0042025495673914	0.0289090499281883	0.4405498504638672	0.0579055100679397	1.957667557783323	1.12
VDR	P11473	200	40	14	0.4771229297759879	0.5408238358922729	-0.0637009061162849	0.0601111762225627	0.4305765032768249	0.1068376004695892	7.1077700869140275	0.67
XIAP	P98170	35	110	0	0.5959562339359304						0.7453969957509001	0.6
XOR	P47989	22	12	111	0.5986151171321468	0.6464017073948433	-0.0477865902626964	-0.0812976956367492	0.5405374765396118	-0.2148579806089401	0.4863177084237046	0.25
